user_id,hero_id,id,num_games,num_wins,kda_ratio
16,8,16_8,280,143,3225.1572327
16,7,16_7,241,143,2716.4730729
16,1,16_1,237,133,3326.8416596
16,86,16_86,237,115,1980.3094234
16,93,16_93,197,106,3298.0842912
16,39,16_39,189,100,3310.8206246
16,26,16_26,172,97,1892.7680798
17,23,17_23,2306,1335,4310.6503785
17,17,17_17,503,320,4504.6347794
17,74,17_74,256,111,3618.4593023
17,104,17_104,163,77,3074.7663552
17,2,17_2,147,72,2740.5978785
17,11,17_11,137,71,3351.2450852
17,106,17_106,126,72,5158.172232
17,36,17_36,112,61,3960.8482871
17,14,17_14,111,49,2892.3766816
18,73,18_73,766,484,3636.47343
18,34,18_34,759,464,4432.6092035
18,106,18_106,730,444,4776.6640966
18,76,18_76,315,178,3589.2461197
18,98,18_98,314,192,4060.0974553
18,10,18_10,304,170,4848.9326765
18,1,18_1,261,140,3543.5203094
18,39,18_39,188,100,3495.697074
18,109,18_109,147,90,3739.3850659
20,8,20_8,113,77,4204.778157
20,77,20_77,78,58,4592.1052632
20,44,20_44,75,43,3455.142232
20,94,20_94,47,28,4349.4623656
20,11,20_11,39,22,2433.3333333
20,41,20_41,37,24,4741.9354839
20,9,20_9,29,16,2969.8275862
20,106,20_106,28,17,3336.2831859
20,114,20_114,27,16,3516.6666666
22,74,22_74,614,331,3710.1664685
22,14,22_14,358,194,2396.2488836
22,76,22_76,331,191,3126.3001486
22,93,22_93,318,175,3591.8598078
22,1,22_1,266,137,3174.2043551
22,106,22_106,259,152,4031.2292359
22,17,22_17,203,121,3687.3977087
22,46,22_46,196,96,2997.3427812
22,98,22_98,196,120,2911.3636363
23,92,23_92,283,193,4664.2857143
23,66,23_66,242,173,3899.3135012
23,54,23_54,183,119,5726.4653642
23,58,23_58,166,110,4975.4601227
23,80,23_80,165,112,5488.7892377
23,52,23_52,160,123,4436.2745098
23,8,23_8,151,116,6263.3928572
23,64,23_64,140,92,3407.5067024
23,20,23_20,131,94,4217.7914111
24,107,24_107,449,279,3318.1660298
24,114,24_114,316,212,3959.1419816
24,74,24_74,261,122,3772.4137931
24,93,24_93,202,112,3681.7800168
24,54,24_54,194,122,4248.8738739
24,95,24_95,183,108,3719.9230029
24,14,24_14,173,98,2785.4315123
24,34,24_34,163,74,4155.3637485
24,101,24_101,157,91,2933.706816
25,10,25_10,179,134,7433.3333333
25,36,25_36,117,71,3470.0636943
25,1,25_1,105,69,5866.2790698
25,93,25_93,67,49,5477.5086506
25,11,25_11,67,51,5070.652174
25,63,25_63,62,37,6493.9271256
25,95,25_95,62,39,4945.054945
25,48,25_48,58,44,5330.6122449
25,18,25_18,55,34,3944.8529411
26,61,26_61,184,128,5549.4880546
26,82,26_82,116,90,4504.5207957
26,14,26_14,113,61,2607.6210093
26,25,26_25,72,33,2136.4238411
26,45,26_45,54,34,3774.3902439
26,103,26_103,45,21,2940.9937888
26,65,26_65,44,28,3542.7631579
26,39,26_39,42,15,2394.8863636
26,114,26_114,42,27,4372.4696356
27,106,27_106,251,145,4397.6945245
27,74,27_74,190,103,3392.5863521
27,40,27_40,168,96,3347.2222222
27,11,27_11,162,76,2887.4172186
27,8,27_8,153,79,3097.7881257
27,41,27_41,141,84,3573.5294118
27,93,27_93,139,72,3343.3029909
27,39,27_39,137,71,4270.4811444
27,76,27_76,131,63,3276.8211921
28,62,28_62,334,191,3529.8885512
28,14,28_14,207,101,2532.2391559
28,100,28_100,150,87,3221.7936355
28,51,28_51,122,70,3457.4742268
28,2,28_2,120,70,3111.4167813
28,93,28_93,115,69,4602.1276596
28,107,28_107,112,50,2827.8787879
28,52,28_52,108,69,3569.2307692
28,86,28_86,106,51,2454.5454545
29,93,29_93,192,111,4878.3269962
29,74,29_74,186,111,4207.7348066
29,8,29_8,163,100,4930.2721088
29,106,29_106,139,72,4693.9351198
29,39,29_39,127,77,5405.3156146
29,11,29_11,117,62,3363.7961335
29,12,29_12,116,65,4922.8915663
29,17,29_17,114,77,4688.6632826
29,1,29_1,106,60,4738.0191693
30,74,30_74,1579,910,3962.5425652
30,8,30_8,449,229,3389.0954151
30,98,30_98,378,189,2748.6398259
30,93,30_93,308,157,3985.1208928
30,106,30_106,286,153,4068.7066975
30,11,30_11,272,146,3335.2450469
30,17,30_17,255,141,3498.5931345
30,69,30_69,215,115,3033.0520394
30,110,30_110,199,116,2851.9031142
32,57,32_57,64,42,4277.1084337
32,38,32_38,59,38,3322.5806451
32,55,32_55,55,37,4928.8537549
32,78,32_78,46,28,3979.7979798
32,13,32_13,46,29,4892.7038627
32,53,32_53,42,24,2750.7507507
32,29,32_29,40,22,3752.6315789
32,34,32_34,35,22,3796.3800905
32,69,32_69,33,21,3373.2718894
33,17,33_17,968,586,3642.1943675
33,14,33_14,721,371,2389.8071626
33,65,33_65,556,298,3369.5771554
33,74,33_74,363,170,2788.29744
33,106,33_106,345,180,3738.6046511
33,46,33_46,196,107,2868.3274021
33,16,33_16,178,96,2838.6850153
33,102,33_102,173,112,2681.3186813
33,53,33_53,171,80,1977.4983455
36,120,36_120,174,98,2463.5811836
36,102,36_102,94,56,2854.5454545
36,65,36_65,77,48,2861.7771509
36,83,36_83,62,42,2622.0930232
36,57,36_57,60,41,3070.4607046
36,27,36_27,52,30,1689.849624
36,96,36_96,50,27,2614.1176471
36,26,36_26,43,26,2055.8035714
36,64,36_64,42,22,1923.4828496
37,28,37_28,469,286,2542.7621638
37,98,37_98,448,248,3063.6168692
37,41,37_41,340,207,2933.6283186
37,104,37_104,322,168,2460.3305785
37,21,37_21,257,124,2279.3814433
37,88,37_88,254,147,2625.1881586
37,51,37_51,187,103,2735.1627313
37,74,37_74,183,86,2216.5433759
37,19,37_19,173,102,2774.0986019
38,74,38_74,314,200,4080.407701
38,11,38_11,236,132,3434.3493552
38,1,38_1,140,73,3140.3269755
38,46,38_46,136,79,3572.327044
38,76,38_76,133,87,4005.2151239
38,8,38_8,129,68,3622.7810651
38,4,38_4,113,73,3260.8108108
38,82,38_82,108,69,3201.9774011
38,109,38_109,100,61,3650.9433962
39,11,39_11,527,271,3160.3161163
39,74,39_74,455,232,3373.2439336
39,46,39_46,332,204,4187.0460048
39,39,39_39,246,126,4161.5875266
39,25,39_25,192,106,3064.9966148
39,8,39_8,174,99,3577.5862069
39,17,39_17,161,78,3621.9963031
39,76,39_76,135,76,3602.0942408
39,34,39_34,133,70,4074.204947
40,11,40_11,151,92,3724.7311828
40,74,40_74,133,80,4607.9779918
40,17,40_17,120,84,4311.5646258
40,106,40_106,64,42,4768.0412371
40,46,40_46,58,39,4551.9713262
40,93,40_93,58,33,3204.2440318
40,104,40_104,57,28,3044.7058823
40,25,40_25,56,44,4555.1948052
40,39,40_39,52,27,4237.458194
41,104,41_104,71,41,2396.039604
41,53,41_53,56,23,2350.2109705
41,106,41_106,51,28,3847.4114441
41,65,41_65,46,27,2669.3333334
41,74,41_74,44,26,3858.1560284
41,25,41_25,44,29,3051.9877676
41,52,41_52,43,21,2203.7037037
41,101,41_101,41,22,2556.561086
41,33,41_33,40,24,3597.2222222
42,14,42_14,526,319,3173.7134573
42,74,42_74,449,256,3796.3594995
42,13,42_13,429,225,3596.7456668
42,17,42_17,371,244,3769.526741
42,39,42_39,352,197,3602.896007
42,46,42_46,325,204,3391.2346339
42,9,42_9,291,163,3617.6801802
42,2,42_2,286,144,2603.4031414
42,97,42_97,263,146,3669.6864111
43,74,43_74,1314,745,4383.2825285
43,11,43_11,994,572,3812.3644252
43,13,43_13,572,311,4649.0471053
43,17,43_17,295,155,3716.1862528
43,39,43_39,206,92,4291.4669224
43,76,43_76,188,92,3439.148073
43,46,43_46,184,102,3831.5789474
43,106,43_106,163,83,3840
43,65,43_65,152,79,3356.5891473
44,77,44_77,87,64,3947.761194
44,11,44_11,24,14,3000
44,48,44_48,23,11,2854.8387097
44,8,44_8,16,7,2860.2150538
44,14,44_14,15,10,2684.6153846
44,39,44_39,14,10,4714.2857143
44,7,44_7,14,8,3341.7721519
44,17,44_17,13,7,3012.0481928
44,33,44_33,13,8,2219.7802198
45,114,45_114,123,79,3537.7821394
45,36,45_36,93,68,5360.5150214
45,48,45_48,83,45,3895.3229399
45,44,45_44,78,49,4765.1162791
45,62,45_62,74,41,3371.1538462
45,60,45_60,70,35,3465.5963303
45,8,45_8,68,50,6599.2647059
45,13,45_13,60,29,4857.1428571
45,4,45_4,55,39,4547.4683544
47,74,47_74,301,208,4332.0388349
47,86,47_86,290,163,2797.5142413
47,7,47_7,226,140,3586.8945869
47,14,47_14,180,112,3052.4880709
47,91,47_91,151,98,2840
47,16,47_16,151,86,3575
47,64,47_64,146,93,3173.3333333
47,101,47_101,146,81,3313.5313531
47,11,47_11,132,87,3637.5176305
48,21,48_21,318,164,3733.6740488
48,88,48_88,276,173,3214.6478873
48,69,48_69,176,92,3285.5863921
48,104,48_104,169,81,2646.5730801
48,55,48_55,160,87,4088.4615385
48,93,48_93,156,82,4260
48,98,48_98,144,90,3408.9456869
48,28,48_28,143,85,3501.1520737
48,65,48_65,138,81,4108.0760095
49,11,49_11,425,237,3337.4366401
49,46,49_46,263,168,4564.1025641
49,17,49_17,201,125,3833.0745342
49,95,49_95,145,84,4548.3870968
49,1,49_1,133,66,3497.1751412
49,109,49_109,104,61,3952.9652352
49,48,49_48,100,61,4234.5132743
49,74,49_74,99,49,3845.2579035
49,72,49_72,93,49,4010.0806452
50,46,50_46,563,348,3880.2238806
50,59,50_59,424,253,2838.3256528
50,11,50_11,413,205,2456.6130161
50,34,50_34,379,218,3890.21043
50,73,50_73,362,200,3060.3889457
50,39,50_39,301,157,3419.1489362
50,82,50_82,249,137,2733.5834897
50,74,50_74,222,135,3531.4009662
50,4,50_4,192,111,3621.2847555
52,98,52_98,523,293,2935.6930559
52,110,52_110,475,290,3348.3001924
52,46,52_46,260,155,4014.3830431
52,106,52_106,243,130,4018.0843939
52,52,52_52,219,129,3357.5677462
52,25,52_25,164,77,2607.5533662
52,47,52_47,146,85,3476.8883878
52,8,52_8,146,79,3644.3883985
52,58,52_58,142,75,3284.7769029
53,107,53_107,353,196,2616.3358282
53,82,53_82,287,164,2245.7852706
53,62,53_62,281,182,2527.9060008
53,17,53_17,210,116,2956.8913175
53,105,53_105,188,98,1502.1037868
53,86,53_86,148,78,2179.1530945
53,74,53_74,139,61,2706.4393939
53,34,53_34,130,59,2673.0190572
53,27,53_27,128,74,1869.4869487
54,74,54_74,585,330,3605.5189715
54,4,54_4,487,303,3579.6070461
54,70,54_70,407,224,3250.6132461
54,98,54_98,297,170,3623.7980769
54,93,54_93,276,155,3794.0740741
54,21,54_21,266,137,3262.0176032
54,113,54_113,254,148,3731.1286844
54,76,54_76,239,135,3422.705314
54,17,54_17,217,136,3599.1348234
55,114,55_114,306,184,3445.3618262
55,62,55_62,295,156,3091.6905444
55,11,55_11,228,122,3086.662153
55,41,55_41,196,114,3966.9762642
55,18,55_18,189,112,4091.4158306
55,32,55_32,181,100,3567.9733111
55,14,55_14,179,81,2663.3941094
55,83,55_83,160,98,3099.5475113
55,97,55_97,151,78,2623.880597
56,8,56_8,289,154,3955.4419284
56,93,56_93,190,119,4645.2742123
56,11,56_11,186,99,3008.1566068
56,10,56_10,132,83,5489.5833333
56,9,56_9,127,74,3578.4695201
56,70,56_70,115,71,4310.5802048
56,104,56_104,104,55,2664.1975309
56,106,56_106,91,59,4691.68357
56,54,56_54,90,63,5106.442577
57,11,57_11,518,269,2842.5567239
57,1,57_1,503,291,3501.1798018
57,59,57_59,372,236,2402.5974026
57,76,57_76,334,189,3180.3108808
57,8,57_8,323,180,3260.3795967
57,70,57_70,263,150,3158.3596215
57,46,57_46,254,133,3024.8823134
57,7,57_7,210,97,2817.625459
57,95,57_95,198,131,3427.3743017
58,17,58_17,852,583,4106.0325996
58,10,58_10,611,410,4702.4209818
58,93,58_93,536,318,3451.212938
58,74,58_74,379,239,3955.0797649
58,46,58_46,239,146,3670.0434154
58,11,58_11,220,113,2790.7396272
58,8,58_8,211,132,3062.3167156
58,41,58_41,169,87,2931.6389133
58,69,58_69,159,80,2617.9321486
59,34,59_34,552,300,3380.6050783
59,74,59_74,363,189,3252.2783761
59,82,59_82,340,184,2403.8540385
59,13,59_13,292,142,3179.5231416
59,23,59_23,287,142,3477.0378875
59,44,59_44,264,137,4100
59,10,59_10,259,146,4216.7530225
59,46,59_46,247,138,3486.0639021
59,106,59_106,241,118,3666.8887409
60,1,60_1,206,141,7659.2292089
60,109,60_109,194,127,5397.1631205
60,89,60_89,128,90,7142.8571429
60,44,60_44,111,68,5185.8407079
60,48,60_48,92,54,4413.2653061
60,69,60_69,92,54,2351.3097072
60,94,60_94,85,49,5179.1530945
60,46,60_46,80,54,5547.0383275
60,76,60_76,70,45,4961.7834395
61,57,61_57,460,277,2662.9169899
61,106,61_106,176,113,4074.5033113
61,87,61_87,145,83,2268.4124386
61,93,61_93,126,71,3582.7633379
61,71,61_71,107,62,2468.75
61,3,61_3,77,41,2461.3899614
61,18,61_18,58,36,3496.5986395
61,31,61_31,46,27,2406.4516129
61,88,61_88,42,24,2274.0524781
62,107,62_107,134,76,3041.3870246
62,76,62_76,128,85,3551.4612452
62,41,62_41,99,61,3715.6862745
62,23,62_23,76,43,3366.3366337
62,13,62_13,69,36,3295
62,66,62_66,68,38,2901.2345679
62,69,62_69,65,38,2748.2993197
62,32,62_32,62,34,2766.4543524
62,62,62_62,58,34,3321.5130024
63,74,63_74,808,477,3883.8546458
63,107,63_107,707,392,2751.6716196
63,9,63_9,337,181,4497.3856209
63,13,63_13,307,164,4401.4039566
63,11,63_11,297,178,3322.9594833
63,14,63_14,255,126,2301.1764706
63,106,63_106,213,118,4783.3500502
63,46,63_46,207,112,3767.6130389
63,100,63_100,190,100,2659.9443672
65,46,65_46,1131,669,3667.0946442
65,74,65_74,1003,538,3317.72818
65,11,65_11,595,300,2968.5444667
65,17,65_17,242,146,3507.8571429
65,14,65_14,196,101,2637.654321
65,9,65_9,180,94,3324.570273
65,6,65_6,170,112,3080.4988662
65,13,65_13,160,75,2917.7330896
65,35,65_35,156,89,3399.3576017
67,74,67_74,664,389,3751.7985612
67,34,67_34,608,378,4338.3694413
67,11,67_11,555,295,2984.8942598
67,17,67_17,374,219,3384.253819
67,9,67_9,200,85,2955.8935361
67,46,67_46,199,102,3292.3976608
67,82,67_82,199,95,2846.3338533
67,97,67_97,173,89,3101.8078021
67,13,67_13,169,79,3333.0598852
68,62,68_62,2144,1290,3111.2270178
68,93,68_93,339,197,3071.5268226
68,63,68_63,291,182,3316.7082294
68,84,68_84,233,122,2458.8452088
68,14,68_14,197,95,1964.3402955
68,86,68_86,160,72,2002.1994135
68,30,68_30,149,75,1997.7186312
68,50,68_50,145,79,1711.3402062
68,88,68_88,119,70,2857.7827548
69,74,69_74,289,157,3100.148002
69,93,69_93,241,136,3660.0920447
69,17,69_17,238,134,3289.3642306
69,107,69_107,146,88,2902.417962
69,7,69_7,142,89,3302.1806853
69,106,69_106,135,68,3923.4828496
69,2,69_2,131,73,2673.6441484
69,98,69_98,127,75,3038.3386581
69,73,69_73,120,67,3195.1219512
70,62,70_62,422,247,2687.9157428
70,101,70_101,392,210,2505.6920311
70,88,70_88,320,187,2375.6925208
70,3,70_3,132,75,2313.7254902
70,87,70_87,110,57,2314.4774688
70,75,70_75,107,68,2180.0720288
70,8,70_8,78,39,2191.0112359
70,108,70_108,56,31,2156.9892473
70,104,70_104,52,21,1786.6666667
71,76,71_76,128,84,3927.7286136
71,74,71_74,113,68,4554.8060708
71,39,71_39,107,68,5656.3876652
71,17,71_17,84,51,4251.0460251
71,106,71_106,79,46,4417.721519
71,1,71_1,65,35,4319.0661478
71,8,71_8,61,33,4285.2564102
71,63,71_63,54,29,5106.3829787
71,12,71_12,49,30,5419.6891192
75,76,75_76,657,382,3815.5749227
75,36,75_36,507,298,3857.8646009
75,17,75_17,423,249,3450.6683641
75,35,75_35,308,181,3779.2929293
75,8,75_8,291,174,3952.0400859
75,14,75_14,284,137,2536.3673303
75,11,75_11,229,122,2985.3211009
75,45,75_45,210,113,2779.4404684
75,6,75_6,180,105,3470.4743465
76,17,76_17,199,129,3328.9986996
76,39,76_39,190,91,3628.9256199
76,11,76_11,102,55,2917.0182841
76,21,76_21,52,24,2727.0029673
76,49,76_49,46,25,3139.6226415
76,71,76_71,29,15,1891.6408669
76,9,76_9,29,18,2541.4364641
76,1,76_1,22,9,2894.2307692
76,76,76_76,19,7,2787.6106194
78,104,78_104,209,130,2917.8707224
78,13,78_13,183,88,3439.9243141
78,57,78_57,178,114,3226.744186
78,39,78_39,131,64,3455.8629776
78,102,78_102,104,61,2768.0339462
78,2,78_2,103,48,2646.3245492
78,63,78_63,83,44,4473.4513275
78,33,78_33,76,38,3297.4358974
78,58,78_58,70,36,3445.7478006
79,107,79_107,235,134,3400.8042896
79,14,79_14,141,92,2446.2025316
79,16,79_16,135,74,2878.5557987
79,114,79_114,96,47,3408.4507042
79,3,79_3,94,52,2515.6695157
79,111,79_111,90,46,2966.8325041
79,27,79_27,89,50,2053.6451169
79,51,79_51,87,41,3096.9899665
79,23,79_23,83,44,3162.5441696
80,59,80_59,118,88,3097.412481
80,1,80_1,88,53,4981.4814815
80,98,80_98,75,51,2906.7460317
80,36,80_36,60,29,2674.7252747
80,38,80_38,45,26,2673.9130435
80,16,80_16,42,23,2973.5973597
80,93,80_93,41,23,5037.2670807
80,77,80_77,41,33,7526.3157894
80,8,80_8,37,23,3464.6464646
81,30,81_30,144,88,2111.2115732
81,107,81_107,132,83,2530.3678357
81,17,81_17,126,81,3489.7074756
81,53,81_53,116,63,1955.8652729
81,25,81_25,110,58,2109.7826087
81,5,81_5,104,66,2054.5023697
81,8,81_8,99,51,3736.9402985
81,41,81_41,96,49,2947.6268413
81,62,81_62,95,52,2575.0750751
82,86,82_86,438,223,2544.5798589
82,26,82_26,351,185,2132.1961621
82,87,82_87,258,162,3277.8119238
82,74,82_74,222,116,3003.2341526
82,62,82_62,181,92,2813.5326515
82,100,82_100,177,92,2755.6657224
82,106,82_106,162,90,4209.4188377
82,23,82_23,144,75,3208.3333333
82,107,82_107,134,74,2489.5920067
84,74,84_74,743,401,3236.7389061
84,14,84_14,601,300,2045.1812124
84,93,84_93,551,332,4414.8854962
84,17,84_17,350,204,3801.8348624
84,41,84_41,339,207,3633.0852891
84,46,84_46,333,180,3390.8794788
84,73,84_73,240,136,2835.3096179
84,106,84_106,228,114,3518.8547486
84,18,84_18,220,143,4315.6146179
86,34,86_34,340,225,3937.8032642
86,9,86_9,281,182,3882.3529412
86,53,86_53,254,148,2512.9682997
86,11,86_11,212,129,3327.6474769
86,48,86_48,202,135,3919.5402299
86,106,86_106,184,111,4753.1194296
86,73,86_73,178,116,3267.2176309
86,17,86_17,174,108,3629.0849673
86,39,86_39,170,103,3951.0676156
87,73,87_73,251,149,3164.6727656
87,56,87_56,177,106,3455.0958628
87,74,87_74,118,58,3274.0740741
87,106,87_106,110,50,3316.14654
87,21,87_21,105,42,2668.7898089
87,11,87_11,101,46,2429.8701299
87,105,87_105,89,58,2746.4114833
87,100,87_100,84,45,2653.5947713
87,8,87_8,79,41,3591.9395466
88,1,88_1,477,269,3421.8669417
88,8,88_8,427,243,3614.9283243
88,93,88_93,313,156,3615.942029
88,10,88_10,254,134,3759.6244132
88,113,88_113,228,131,2684.8484849
88,106,88_106,221,120,3778.6589762
88,74,88_74,184,93,3115.6222418
88,76,88_76,161,79,3152.7777777
88,48,88_48,157,95,3548.6018641
90,86,90_86,268,147,2620.1089648
90,46,90_46,231,152,4145.8670989
90,71,90_71,196,120,3077.970297
90,84,90_84,172,101,2800
90,107,90_107,162,97,2769.9836868
90,26,90_26,153,65,1820.9876543
90,88,90_88,147,80,2874.4142455
90,106,90_106,139,80,4399.0929705
90,85,90_85,127,79,3540.1459854
91,107,91_107,383,222,2941.3153457
91,68,91_68,221,134,3172.9986432
91,101,91_101,218,123,2741.7218543
91,34,91_34,175,110,4836.506159
91,86,91_86,161,95,2739.6616541
91,14,91_14,136,68,2570.2811245
91,84,91_84,84,52,2859.437751
91,25,91_25,84,51,2659.9664992
91,79,91_79,82,46,2575.5395683
92,13,92_13,647,366,5025.4291163
92,14,92_14,569,332,3375.5974843
92,9,92_9,495,276,3468.3908046
92,41,92_41,410,235,3603.3621082
92,51,92_51,354,193,3413.6460554
92,3,92_3,247,145,3295.9522229
92,97,92_97,195,91,3295.7042957
92,22,92_22,179,114,5319.0529876
92,28,92_28,174,103,3492.7083333
93,80,93_80,967,591,4460.6913429
93,8,93_8,310,174,4223.0828815
93,106,93_106,303,160,4564.3370347
93,43,93_43,281,165,3698.3075791
93,74,93_74,251,118,3922.3443223
93,11,93_11,216,96,2851.9593614
93,25,93_25,215,109,2985.5595668
93,28,93_28,208,119,2946.2450593
93,93,93_93,191,91,3785.7847976
94,105,94_105,362,190,1792.7548441
94,77,94_77,306,178,3741.8065548
94,11,94_11,212,107,3158.9506173
94,7,94_7,190,92,2899.2568126
94,107,94_107,178,82,2814.0267927
94,80,94_80,175,90,2880
94,28,94_28,167,99,3041.536864
94,62,94_62,166,102,3382.4975418
94,8,94_8,157,79,3427.8728606
95,74,95_74,649,410,4339.6958913
95,107,95_107,580,349,3464.697609
95,14,95_14,256,180,3261.0340479
95,62,95_62,245,161,3597.5103735
95,71,95_71,211,118,3569.5858792
95,9,95_9,200,124,3991.9678715
95,98,95_98,176,110,3073.4732824
95,53,95_53,170,103,3898.6636971
95,54,95_54,160,98,4276.96793
96,32,96_32,93,47,2791.7933131
96,62,96_62,74,46,2718.6009539
96,90,96_90,47,19,2073.2394366
96,28,96_28,37,24,2344.9367089
96,85,96_85,29,18,2959.8393574
96,14,96_14,25,14,2401.6736402
96,86,96_86,24,9,2132.0754717
96,71,96_71,22,10,2129.1666667
96,101,96_101,22,8,2356.7567567
97,74,97_74,883,441,2973.7800437
97,53,97_53,584,339,2352.5517831
97,80,97_80,410,220,2614.883721
97,65,97_65,344,165,2675.6554307
97,11,97_11,324,162,2501.7489312
97,9,97_9,306,148,2729.2366779
97,97,97_97,305,159,2496.091954
97,106,97_106,294,150,3532.1484579
97,86,97_86,280,132,1948.9051095
98,14,98_14,390,206,2456.3397129
98,105,98_105,291,159,2414.5437703
98,74,98_74,281,136,2839.7596395
98,55,98_55,185,110,3579.1738382
98,86,98_86,170,85,2387.5379939
98,88,98_88,165,97,3268.8848921
98,2,98_2,164,84,2645.6896552
98,93,98_93,162,97,3455.5765596
98,106,98_106,148,85,4057.6923077
99,74,99_74,841,433,3325.390304
99,11,99_11,678,313,2826.5396544
99,106,99_106,652,366,4067.3336939
99,93,99_93,477,261,4170.6013363
99,34,99_34,470,247,3425.9641873
99,13,99_13,446,250,3332.5806452
99,39,99_39,391,209,3750
99,17,99_17,357,204,3282.9268293
99,8,99_8,299,156,3559.0106007
104,74,104_74,538,353,3604.9968374
104,8,104_8,414,257,3793.3761739
104,12,104_12,276,174,4591.6955017
104,41,104_41,245,134,3749.010293
104,93,104_93,235,136,3794.9502678
104,86,104_86,193,118,2790.2338377
104,46,104_46,181,115,3680.5970149
104,44,104_44,177,101,3933.3333333
104,9,104_9,177,99,3100.877193
106,11,106_11,302,165,4036.6863905
106,74,106_74,294,176,4607.2902338
106,76,106_76,127,81,4774.2998352
106,8,106_8,113,59,3865.7587548
106,46,106_46,107,62,4211.2676056
106,17,106_17,94,55,4461.8473896
106,18,106_18,91,52,3070.2811245
106,93,106_93,83,61,5715.4696133
106,104,106_104,83,41,2572.6072607
108,8,108_8,201,118,4768.8243065
108,74,108_74,163,103,4181.430096
108,106,108_106,146,88,4883.9285714
108,93,108_93,109,71,5210.7526881
108,80,108_80,92,51,3940.3794038
108,41,108_41,81,48,4045.4545454
108,10,108_10,76,37,4584.1924399
108,54,108_54,76,37,4261.9047619
108,48,108_48,76,43,4543.6893204
109,41,109_41,457,281,3191.2452189
109,54,109_54,396,224,4484.2240825
109,59,109_59,315,180,1654.1651641
109,8,109_8,276,186,3094.6969697
109,67,109_67,268,158,3764.1509434
109,93,109_93,242,142,3748.5898469
109,57,109_57,213,119,2486.5871833
109,17,109_17,190,90,2957.3954984
109,77,109_77,180,124,2361.1691023
113,98,113_98,109,61,2894.085282
